dt,cnt_id,cycle_id,event,location_name,end_location_name,cnt_type,days_since_last_event,days_until_free
2006-01-02,STNU2517447,STNU2517447_cycle_1,Передан_на_погрузку,Владивосток,Москва,40,0,28
2006-01-03,BUTU7001309,BUTU7001309_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,20,0,24
2006-01-03,KNYU3537798,KNYU3537798_cycle_1,Передан_на_погрузку,Москва,Владивосток,20,0,40
2006-01-03,TOWU6899546,TOWU6899546_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,43
2006-01-03,TOWU6899546,TOWU6899546_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,20,0,43
2006-01-04,STNU4510100,STNU4510100_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,20,0,11
2006-01-04,STNU4510100,STNU4510100_cycle_1,Прибыл_груженый,Москва,Санкт-Петербург,20,0,11
2006-01-04,TOWU6899546,TOWU6899546_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,20,1,42
2006-01-05,ERKU8324044,ERKU8324044_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,40,0,38
2006-01-05,STNU4510100,STNU4510100_cycle_1,Отправлен_по_ЖД,Москва,Санкт-Петербург,20,1,10
2006-01-05,STNU4510100,STNU4510100_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,20,0,10
2006-01-06,STNU4510100,STNU4510100_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,20,1,9
2006-01-07,KNYU3537798,KNYU3537798_cycle_1,Прибыл_груженый,Москва,Владивосток,20,4,36
2006-01-07,TOWU3611630,TOWU3611630_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,40,0,47
2006-01-08,KNYU5372067,KNYU5372067_cycle_1,Передан_на_погрузку,Владивосток,Москва,40,0,46
2006-01-09,KNYU3537798,KNYU3537798_cycle_1,Отправлен_по_ЖД,Москва,Владивосток,20,2,34
2006-01-11,CRTU3557936,CRTU3557936_cycle_1,Передан_на_погрузку,Москва,Владивосток,20,0,20
2006-01-12,KNYU8173059,KNYU8173059_cycle_1,Передан_на_погрузку,Москва,Владивосток,20,0,53
2006-01-13,CRTU1715325,CRTU1715325_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,40,0,30
2006-01-13,CRTU3557936,CRTU3557936_cycle_1,Прибыл_груженый,Москва,Владивосток,20,2,18
2006-01-14,CRTU3557936,CRTU3557936_cycle_1,Отправлен_по_ЖД,Москва,Владивосток,20,1,17
2006-01-14,STNU1402586,STNU1402586_cycle_1,Передан_на_погрузку,Москва,Владивосток,20,0,53
2006-01-14,STNU2517447,STNU2517447_cycle_1,Прибыл_груженый,Владивосток,Москва,40,12,16
2006-01-14,STNU2517447,STNU2517447_cycle_1,Отправлен_по_ЖД,Владивосток,Москва,40,0,16
2006-01-14,WEDU4651205,WEDU4651205_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,33
2006-01-14,WEDU8568487,WEDU8568487_cycle_1,Передан_на_погрузку,Москва,Владивосток,40,0,29
2006-01-14,WEDU9910122,WEDU9910122_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,31
2006-01-15,KNYU9683883,KNYU9683883_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,26
2006-01-15,STNU4510100,STNU4510100_cycle_1,Прибыл_свободным,Санкт-Петербург,Санкт-Петербург,20,9,0
2006-01-15,TOWU3611630,TOWU3611630_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,40,8,39
2006-01-16,BUTU7001309,BUTU7001309_cycle_1,Прибыл_груженый,Москва,Санкт-Петербург,20,13,11
2006-01-16,WEDU5817433,WEDU5817433_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,20,0,17
2006-01-16,WEDU9910122,WEDU9910122_cycle_1,Прибыл_груженый,Санкт-Петербург,Москва,40,2,29
2006-01-16,WEDU9910122,WEDU9910122_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Москва,40,0,29
2006-01-16,WEDU9910122,WEDU9910122_cycle_1,Прибыл_по_ЖД,Москва,Москва,40,0,29
2006-01-17,BUTU7001309,BUTU7001309_cycle_1,Отправлен_по_ЖД,Москва,Санкт-Петербург,20,1,10
2006-01-18,WEDU9910122,WEDU9910122_cycle_1,Отправлен_грузополучателю,Москва,Москва,40,2,27
2006-01-19,TOWU3611630,TOWU3611630_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,40,4,35
2006-01-20,KNYU5372067,KNYU5372067_cycle_1,Прибыл_груженый,Владивосток,Москва,40,12,34
2006-01-20,WEDU4651205,WEDU4651205_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,20,6,27
2006-01-21,BUTU7001309,BUTU7001309_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,20,4,6
2006-01-21,CRTU1715325,CRTU1715325_cycle_1,Прибыл_груженый,Санкт-Петербург,Владивосток,40,8,22
2006-01-21,CRTU3557936,CRTU3557936_cycle_1,Прибыл_по_ЖД,Владивосток,Владивосток,20,7,10
2006-01-21,KNYU3537798,KNYU3537798_cycle_1,Прибыл_по_ЖД,Владивосток,Владивосток,20,12,22
2006-01-21,KNYU9683883,KNYU9683883_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,20,6,20
2006-01-21,KNYU9683883,KNYU9683883_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,20,0,20
2006-01-21,TOWU2984334,TOWU2984334_cycle_1,Передан_на_погрузку,Москва,Владивосток,40,0,39
2006-01-22,BUTU7001309,BUTU7001309_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,20,1,5
2006-01-22,CRTU1715325,CRTU1715325_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Владивосток,40,1,21
2006-01-22,KNYU5372067,KNYU5372067_cycle_1,Отправлен_по_ЖД,Владивосток,Москва,40,2,32
2006-01-22,WEDU4651205,WEDU4651205_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,20,2,25
2006-01-23,BUTU4321000,BUTU4321000_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,40,0,18
2006-01-23,CRTU3557936,CRTU3557936_cycle_1,Отправлен_грузополучателю,Владивосток,Владивосток,20,2,8
2006-01-23,KNYU3021654,KNYU3021654_cycle_1,Передан_на_погрузку,Владивосток,Москва,40,0,36
2006-01-23,TIMU8061928,TIMU8061928_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,62
2006-01-24,CRTU3557001,CRTU3557001_cycle_1,Передан_на_погрузку,Москва,Владивосток,20,0,56
2006-01-24,ERKU8324044,ERKU8324044_cycle_1,Прибыл_груженый,Москва,Санкт-Петербург,40,19,19
2006-01-24,KNYU3537798,KNYU3537798_cycle_1,Отправлен_грузополучателю,Владивосток,Владивосток,20,3,19
2006-01-24,STNU9487869,STNU9487869_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,43
2006-01-24,WEDU8568487,WEDU8568487_cycle_1,Прибыл_груженый,Москва,Владивосток,40,10,19
2006-01-24,WEDU8568487,WEDU8568487_cycle_1,Отправлен_по_ЖД,Москва,Владивосток,40,0,19
2006-01-25,ERKU8324044,ERKU8324044_cycle_1,Отправлен_по_ЖД,Москва,Санкт-Петербург,40,1,18
2006-01-25,STNU2517447,STNU2517447_cycle_1,Прибыл_по_ЖД,Москва,Москва,40,11,5
2006-01-25,STNU3092282,STNU3092282_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,40,0,48
2006-01-25,TOWU2984334,TOWU2984334_cycle_1,Прибыл_груженый,Москва,Владивосток,40,4,35
2006-01-25,TOWU6899546,TOWU6899546_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,20,21,21
2006-01-26,ERKU8324044,ERKU8324044_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,40,1,17
2006-01-26,STNU2517447,STNU2517447_cycle_1,Отправлен_грузополучателю,Москва,Москва,40,1,4
2006-01-26,TIMU5293271,TIMU5293271_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,20,0,37
2006-01-26,TOWU2984334,TOWU2984334_cycle_1,Отправлен_по_ЖД,Москва,Владивосток,40,1,34
2006-01-26,TOWU6899546,TOWU6899546_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,20,1,20
2006-01-27,BUTU7001309,BUTU7001309_cycle_1,Прибыл_свободным,Санкт-Петербург,Санкт-Петербург,20,5,0
2006-01-27,ERKU8324044,ERKU8324044_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,40,1,16
2006-01-27,KNYU3021654,KNYU3021654_cycle_1,Прибыл_груженый,Владивосток,Москва,40,4,32
2006-01-27,STNU1402586,STNU1402586_cycle_1,Прибыл_груженый,Москва,Владивосток,20,13,40
2006-01-27,WEDU2249581,WEDU2249581_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,23
2006-01-28,ERKU8281105,ERKU8281105_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,43
2006-01-28,TIMU7736033,TIMU7736033_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,20,0,28
2006-01-28,WEDU6654977,WEDU6654977_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,20,0,43
2006-01-29,BUTU2391445,BUTU2391445_cycle_1,Передан_на_погрузку,Владивосток,Москва,20,0,44
2006-01-29,CRTU2183954,CRTU2183954_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,43
2006-01-29,KNYU1033833,KNYU1033833_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,40,0,54
2006-01-29,KNYU5786200,KNYU5786200_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,20,0,27
2006-01-29,STNU1402586,STNU1402586_cycle_1,Отправлен_по_ЖД,Москва,Владивосток,20,2,38
2006-01-29,TIMU5293271,TIMU5293271_cycle_1,Прибыл_груженый,Москва,Санкт-Петербург,20,3,34
2006-01-29,WEDU5817433,WEDU5817433_cycle_1,Прибыл_груженый,Москва,Санкт-Петербург,20,13,4
2006-01-30,CRTU2093770,CRTU2093770_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,40,0,56
2006-01-30,CRTU6264170,CRTU6264170_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,35
2006-01-30,ERKU3509749,ERKU3509749_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,24
2006-01-30,ERKU3509749,ERKU3509749_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,20,0,24
2006-01-30,ERKU5797068,ERKU5797068_cycle_1,Передан_на_погрузку,Владивосток,Москва,40,0,47
2006-01-30,KNYU8173059,KNYU8173059_cycle_1,Прибыл_груженый,Москва,Владивосток,20,18,35
2006-01-30,STNU2517447,STNU2517447_cycle_1,Прибыл_свободным,Москва,Москва,40,4,0
2006-01-30,TIMU1636645,TIMU1636645_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,20,0,47
2006-01-30,TIMU5165088,TIMU5165088_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,40,0,51
2006-01-30,TOWU9896330,TOWU9896330_cycle_1,Передан_на_погрузку,Москва,Владивосток,40,0,41
2006-01-30,WEDU5817433,WEDU5817433_cycle_1,Отправлен_по_ЖД,Москва,Санкт-Петербург,20,1,3
2006-01-31,CRTU3557936,CRTU3557936_cycle_1,Прибыл_свободным,Владивосток,Владивосток,20,8,0
2006-01-31,CRTU8128829,CRTU8128829_cycle_1,Передан_на_погрузку,Владивосток,Москва,20,0,48
2006-01-31,KNYU3021654,KNYU3021654_cycle_1,Отправлен_по_ЖД,Владивосток,Москва,40,4,28
2006-01-31,KNYU8173059,KNYU8173059_cycle_1,Отправлен_по_ЖД,Москва,Владивосток,20,1,34
2006-01-31,TIMU5165088,TIMU5165088_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,40,1,50
2006-01-31,TIMU5293271,TIMU5293271_cycle_1,Отправлен_по_ЖД,Москва,Санкт-Петербург,20,2,32
2006-01-31,TIMU8061928,TIMU8061928_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,20,8,54
2006-01-31,WEDU2249581,WEDU2249581_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,20,4,19
2006-01-31,WEDU5817433,WEDU5817433_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,20,1,2
2006-01-31,WEDU5817433,WEDU5817433_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,20,0,2
2006-02-01,ERKU3509749,ERKU3509749_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,20,2,22
2006-02-01,STNU2356703,STNU2356703_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,40,0,56
2006-02-01,TIMU5165088,TIMU5165088_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,40,1,49
2006-02-01,TIMU7736033,TIMU7736033_cycle_1,Прибыл_груженый,Санкт-Петербург,Москва,20,4,24
2006-02-01,TOWU2984334,TOWU2984334_cycle_1,Прибыл_по_ЖД,Владивосток,Владивосток,40,6,28
