Дата_заявки,Планируемая_дата_отправления,Количество_контейнеров,Тип_контейнера,Локация_отправления,Локация_назначения
2006-01-01,2006-01-02,2,20,Санкт-Петербург,Владивосток
2006-01-01,2006-01-08,3,40,Санкт-Петербург,Владивосток
2006-01-01,2006-01-08,4,40,Санкт-Петербург,Владивосток
2006-01-01,2006-01-08,1,40,Санкт-Петербург,Владивосток
2006-01-01,2006-01-04,4,40,Москва,Владивосток
2006-01-01,2006-01-05,3,40,Москва,Санкт-Петербург
2006-01-02,2006-01-04,2,20,Владивосток,Санкт-Петербург
2006-01-03,2006-01-06,1,20,Владивосток,Санкт-Петербург
2006-01-04,2006-01-10,4,40,Санкт-Петербург,Москва
2006-01-04,2006-01-07,4,40,Санкт-Петербург,Владивосток
2006-01-05,2006-01-08,4,40,Москва,Владивосток
2006-01-05,2006-01-07,1,20,Владивосток,Москва
2006-01-05,2006-01-09,4,20,Москва,Владивосток
2006-01-06,2006-01-13,4,20,Санкт-Петербург,Москва
2006-01-07,2006-01-11,4,20,Москва,Санкт-Петербург
2006-01-08,2006-01-12,4,40,Москва,Владивосток
2006-01-09,2006-01-12,2,40,Москва,Санкт-Петербург
2006-01-10,2006-01-17,1,20,Москва,Владивосток
2006-01-11,2006-01-12,1,20,Владивосток,Москва
2006-01-11,2006-01-15,4,40,Москва,Владивосток
2006-01-11,2006-01-16,1,20,Владивосток,Санкт-Петербург
2006-01-11,2006-01-15,4,20,Санкт-Петербург,Владивосток
2006-01-11,2006-01-15,3,40,Владивосток,Москва
2006-01-12,2006-01-18,1,20,Санкт-Петербург,Владивосток
2006-01-12,2006-01-19,2,20,Москва,Санкт-Петербург
2006-01-14,2006-01-18,2,40,Москва,Санкт-Петербург
2006-01-14,2006-01-16,1,20,Санкт-Петербург,Владивосток
2006-01-14,2006-01-16,4,20,Санкт-Петербург,Москва
2006-01-14,2006-01-16,4,40,Владивосток,Москва
2006-01-15,2006-01-20,4,20,Москва,Санкт-Петербург
2006-01-15,2006-01-19,3,20,Москва,Санкт-Петербург
2006-01-15,2006-01-21,1,40,Владивосток,Санкт-Петербург
2006-01-15,2006-01-16,1,20,Санкт-Петербург,Владивосток
2006-01-15,2006-01-19,4,20,Владивосток,Санкт-Петербург
2006-01-16,2006-01-23,2,20,Москва,Владивосток
2006-01-16,2006-01-18,2,20,Москва,Санкт-Петербург
2006-01-16,2006-01-18,2,40,Москва,Санкт-Петербург
2006-01-17,2006-01-19,4,20,Владивосток,Санкт-Петербург
2006-01-17,2006-01-21,4,40,Санкт-Петербург,Москва
2006-01-17,2006-01-19,1,20,Владивосток,Санкт-Петербург
2006-01-17,2006-01-19,3,20,Владивосток,Санкт-Петербург
2006-01-17,2006-01-20,3,40,Санкт-Петербург,Москва
2006-01-17,2006-01-21,3,40,Владивосток,Москва
2006-01-17,2006-01-21,2,40,Владивосток,Санкт-Петербург
2006-01-17,2006-01-24,2,20,Санкт-Петербург,Москва
2006-01-18,2006-01-25,3,20,Санкт-Петербург,Владивосток
2006-01-18,2006-01-25,4,20,Санкт-Петербург,Москва
2006-01-19,2006-01-20,2,40,Санкт-Петербург,Москва
2006-01-19,2006-01-22,4,20,Москва,Санкт-Петербург
2006-01-19,2006-01-26,3,40,Владивосток,Москва
2006-01-19,2006-01-20,2,20,Санкт-Петербург,Москва
2006-01-20,2006-01-25,3,40,Москва,Владивосток
2006-01-20,2006-01-27,1,40,Москва,Санкт-Петербург
2006-01-20,2006-01-24,4,20,Владивосток,Санкт-Петербург
2006-01-20,2006-01-21,2,40,Санкт-Петербург,Владивосток
2006-01-20,2006-01-21,4,20,Москва,Владивосток
2006-01-20,2006-01-23,2,20,Санкт-Петербург,Владивосток
2006-01-21,2006-01-26,4,20,Москва,Владивосток
2006-01-22,2006-01-28,3,40,Санкт-Петербург,Москва
2006-01-22,2006-01-24,4,40,Владивосток,Санкт-Петербург
2006-01-22,2006-01-29,1,40,Владивосток,Санкт-Петербург
2006-01-22,2006-01-29,4,20,Владивосток,Москва
2006-01-23,2006-01-24,1,40,Владивосток,Санкт-Петербург
2006-01-23,2006-01-30,4,20,Москва,Санкт-Петербург
2006-01-23,2006-01-24,2,20,Москва,Санкт-Петербург
2006-01-23,2006-01-25,4,40,Москва,Владивосток
2006-01-23,2006-01-28,4,20,Владивосток,Москва
2006-01-24,2006-01-25,2,20,Санкт-Петербург,Москва
2006-01-25,2006-02-01,4,40,Санкт-Петербург,Владивосток
2006-01-25,2006-01-27,4,20,Санкт-Петербург,Владивосток
2006-01-25,2006-01-30,4,40,Санкт-Петербург,Москва
2006-01-26,2006-01-30,4,40,Владивосток,Москва
2006-01-27,2006-02-03,4,40,Москва,Владивосток
2006-01-27,2006-01-30,3,40,Санкт-Петербург,Москва
2006-01-27,2006-01-29,3,20,Санкт-Петербург,Москва
2006-01-27,2006-01-31,3,40,Москва,Санкт-Петербург
2006-01-28,2006-01-31,4,40,Москва,Владивосток
2006-01-28,2006-01-29,4,20,Москва,Владивосток
2006-01-28,2006-02-04,3,20,Москва,Санкт-Петербург
2006-01-28,2006-01-30,3,20,Москва,Владивосток
2006-01-28,2006-01-30,1,40,Москва,Владивосток
2006-01-29,2006-01-30,4,40,Санкт-Петербург,Владивосток
2006-01-30,2006-01-31,1,20,Владивосток,Санкт-Петербург
2006-01-30,2006-02-04,4,40,Москва,Санкт-Петербург
2006-01-30,2006-02-03,3,20,Москва,Владивосток
2006-01-30,2006-02-04,4,40,Санкт-Петербург,Москва
2006-01-31,2006-02-05,1,20,Владивосток,Москва
2006-01-31,2006-02-05,1,20,Москва,Владивосток
2006-02-01,2006-02-04,3,40,Владивосток,Санкт-Петербург
2006-02-01,2006-02-02,3,40,Санкт-Петербург,Москва
2006-02-02,2006-02-04,4,20,Санкт-Петербург,Москва
2006-02-02,2006-02-06,1,40,Санкт-Петербург,Владивосток
2006-02-03,2006-02-07,2,20,Москва,Владивосток
2006-02-04,2006-02-11,1,40,Владивосток,Москва
2006-02-04,2006-02-06,1,20,Санкт-Петербург,Владивосток
2006-02-04,2006-02-11,3,20,Москва,Санкт-Петербург
2006-02-04,2006-02-08,2,40,Санкт-Петербург,Москва
2006-02-04,2006-02-06,3,40,Москва,Владивосток
2006-02-05,2006-02-08,1,40,Владивосток,Москва
2006-02-05,2006-02-11,2,40,Санкт-Петербург,Москва
2006-02-06,2006-02-12,4,40,Санкт-Петербург,Москва
2006-02-06,2006-02-13,2,20,Владивосток,Москва
2006-02-07,2006-02-13,1,40,Владивосток,Москва
2006-02-07,2006-02-14,2,40,Санкт-Петербург,Владивосток
2006-02-07,2006-02-10,3,20,Санкт-Петербург,Владивосток
2006-02-07,2006-02-13,3,20,Санкт-Петербург,Москва
2006-02-08,2006-02-11,3,20,Санкт-Петербург,Москва
2006-02-08,2006-02-13,4,20,Москва,Санкт-Петербург
2006-02-08,2006-02-15,1,20,Москва,Владивосток
2006-02-08,2006-02-13,2,20,Владивосток,Санкт-Петербург
2006-02-09,2006-02-15,3,40,Владивосток,Санкт-Петербург
2006-02-09,2006-02-14,1,40,Санкт-Петербург,Москва
2006-02-10,2006-02-13,4,40,Санкт-Петербург,Москва
2006-02-11,2006-02-14,3,40,Москва,Санкт-Петербург
2006-02-11,2006-02-17,3,20,Владивосток,Москва
2006-02-12,2006-02-17,3,20,Санкт-Петербург,Москва
2006-02-12,2006-02-16,1,40,Москва,Владивосток
2006-02-12,2006-02-17,3,20,Москва,Санкт-Петербург
2006-02-12,2006-02-14,1,20,Санкт-Петербург,Владивосток
2006-02-12,2006-02-17,3,40,Владивосток,Санкт-Петербург
2006-02-12,2006-02-14,3,40,Владивосток,Москва
2006-02-13,2006-02-19,2,40,Москва,Санкт-Петербург
2006-02-13,2006-02-17,3,20,Владивосток,Санкт-Петербург
2006-02-13,2006-02-14,3,40,Владивосток,Москва
2006-02-14,2006-02-16,3,20,Владивосток,Москва
2006-02-14,2006-02-18,1,40,Санкт-Петербург,Владивосток
2006-02-14,2006-02-18,2,40,Владивосток,Москва
2006-02-14,2006-02-18,3,40,Владивосток,Санкт-Петербург
2006-02-14,2006-02-16,2,20,Владивосток,Москва
2006-02-15,2006-02-16,4,20,Москва,Санкт-Петербург
2006-02-15,2006-02-17,3,20,Владивосток,Москва
2006-02-15,2006-02-18,3,20,Москва,Санкт-Петербург
2006-02-15,2006-02-17,3,40,Санкт-Петербург,Москва
2006-02-15,2006-02-18,3,20,Москва,Санкт-Петербург
2006-02-15,2006-02-19,4,40,Санкт-Петербург,Владивосток
2006-02-16,2006-02-20,2,40,Санкт-Петербург,Владивосток
2006-02-16,2006-02-20,2,40,Москва,Владивосток
2006-02-16,2006-02-17,4,20,Москва,Санкт-Петербург
2006-02-16,2006-02-18,4,40,Санкт-Петербург,Владивосток
2006-02-17,2006-02-19,3,20,Владивосток,Санкт-Петербург
2006-02-17,2006-02-21,3,20,Москва,Санкт-Петербург
2006-02-17,2006-02-20,2,20,Санкт-Петербург,Владивосток
2006-02-18,2006-02-19,2,40,Москва,Владивосток
2006-02-18,2006-02-25,4,40,Москва,Санкт-Петербург
2006-02-19,2006-02-20,2,20,Москва,Владивосток
2006-02-19,2006-02-20,2,20,Санкт-Петербург,Москва
2006-02-19,2006-02-24,3,20,Москва,Владивосток
2006-02-19,2006-02-25,4,20,Санкт-Петербург,Владивосток
2006-02-20,2006-02-25,2,40,Москва,Владивосток
2006-02-20,2006-02-23,3,40,Москва,Владивосток
2006-02-20,2006-02-25,3,20,Владивосток,Москва
2006-02-20,2006-02-24,2,20,Санкт-Петербург,Владивосток
2006-02-21,2006-02-23,3,40,Санкт-Петербург,Владивосток
2006-02-21,2006-02-28,3,40,Санкт-Петербург,Владивосток
2006-02-21,2006-02-27,2,20,Владивосток,Санкт-Петербург
2006-02-21,2006-02-23,2,20,Санкт-Петербург,Москва
2006-02-22,2006-03-01,2,40,Владивосток,Москва
2006-02-22,2006-02-28,1,40,Владивосток,Санкт-Петербург
2006-02-23,2006-02-24,3,40,Санкт-Петербург,Владивосток
2006-02-23,2006-02-27,3,20,Москва,Владивосток
2006-02-23,2006-02-28,4,20,Санкт-Петербург,Владивосток
2006-02-24,2006-03-01,3,20,Москва,Владивосток
2006-02-24,2006-02-28,3,40,Москва,Санкт-Петербург
2006-02-24,2006-03-03,2,20,Владивосток,Москва
2006-02-24,2006-02-25,1,40,Москва,Владивосток
2006-02-24,2006-02-27,1,40,Владивосток,Санкт-Петербург
2006-02-25,2006-02-26,3,40,Санкт-Петербург,Москва
2006-02-26,2006-03-05,1,40,Москва,Владивосток
2006-02-26,2006-03-04,4,20,Владивосток,Москва
2006-02-27,2006-03-05,1,20,Санкт-Петербург,Владивосток
2006-02-27,2006-03-01,4,20,Владивосток,Санкт-Петербург
2006-02-28,2006-03-07,1,20,Владивосток,Москва
2006-03-01,2006-03-03,2,20,Владивосток,Санкт-Петербург
2006-03-01,2006-03-07,4,20,Москва,Владивосток
2006-03-01,2006-03-06,3,40,Санкт-Петербург,Владивосток
2006-03-01,2006-03-06,5,20,Москва,Владивосток
2006-03-02,2006-03-05,3,20,Санкт-Петербург,Москва
2006-03-02,2006-03-03,4,20,Санкт-Петербург,Владивосток
2006-03-02,2006-03-05,3,20,Владивосток,Санкт-Петербург
2006-03-03,2006-03-06,2,20,Владивосток,Санкт-Петербург
2006-03-03,2006-03-05,3,20,Санкт-Петербург,Москва
2006-03-03,2006-03-05,4,20,Санкт-Петербург,Владивосток
2006-03-05,2006-03-11,4,40,Санкт-Петербург,Владивосток
2006-03-06,2006-03-08,5,40,Санкт-Петербург,Владивосток
2006-03-07,2006-03-09,2,20,Владивосток,Санкт-Петербург
2006-03-07,2006-03-09,5,40,Москва,Владивосток
2006-03-07,2006-03-13,6,20,Москва,Санкт-Петербург
2006-03-07,2006-03-10,6,20,Москва,Владивосток
2006-03-08,2006-03-13,6,20,Владивосток,Москва
2006-03-08,2006-03-15,4,40,Санкт-Петербург,Владивосток
2006-03-09,2006-03-14,3,40,Санкт-Петербург,Москва
2006-03-09,2006-03-14,2,20,Владивосток,Санкт-Петербург
2006-03-10,2006-03-16,6,20,Москва,Владивосток
2006-03-10,2006-03-11,5,40,Москва,Санкт-Петербург
2006-03-10,2006-03-11,4,40,Санкт-Петербург,Москва
2006-03-11,2006-03-13,2,20,Санкт-Петербург,Москва
2006-03-11,2006-03-18,2,20,Владивосток,Москва
2006-03-11,2006-03-13,6,40,Владивосток,Санкт-Петербург
2006-03-11,2006-03-16,3,20,Владивосток,Москва
2006-03-11,2006-03-18,4,20,Санкт-Петербург,Владивосток
2006-03-12,2006-03-14,6,20,Владивосток,Санкт-Петербург
2006-03-12,2006-03-15,4,20,Москва,Санкт-Петербург
2006-03-12,2006-03-15,3,20,Владивосток,Москва
2006-03-13,2006-03-14,6,40,Москва,Санкт-Петербург
2006-03-13,2006-03-20,2,20,Санкт-Петербург,Владивосток
2006-03-14,2006-03-18,2,40,Владивосток,Санкт-Петербург
2006-03-14,2006-03-18,5,40,Санкт-Петербург,Москва
2006-03-14,2006-03-18,6,20,Санкт-Петербург,Владивосток
2006-03-15,2006-03-17,3,20,Москва,Владивосток
2006-03-15,2006-03-17,6,40,Санкт-Петербург,Москва
2006-03-16,2006-03-19,3,40,Москва,Санкт-Петербург
2006-03-17,2006-03-23,2,40,Москва,Санкт-Петербург
2006-03-17,2006-03-19,6,40,Санкт-Петербург,Москва
2006-03-17,2006-03-18,4,40,Владивосток,Санкт-Петербург
2006-03-17,2006-03-18,6,20,Санкт-Петербург,Москва
2006-03-17,2006-03-20,3,40,Санкт-Петербург,Владивосток
2006-03-17,2006-03-18,6,20,Санкт-Петербург,Владивосток
2006-03-18,2006-03-25,3,40,Санкт-Петербург,Москва
2006-03-18,2006-03-22,5,20,Санкт-Петербург,Москва
2006-03-19,2006-03-25,6,20,Москва,Владивосток
2006-03-19,2006-03-24,6,20,Москва,Санкт-Петербург
2006-03-19,2006-03-22,2,40,Санкт-Петербург,Москва
2006-03-20,2006-03-23,2,20,Москва,Санкт-Петербург
2006-03-21,2006-03-22,2,40,Москва,Владивосток
2006-03-21,2006-03-24,3,20,Санкт-Петербург,Владивосток
2006-03-22,2006-03-27,3,40,Санкт-Петербург,Владивосток
2006-03-22,2006-03-24,4,40,Владивосток,Москва
2006-03-23,2006-03-24,5,20,Москва,Санкт-Петербург
2006-03-23,2006-03-26,6,20,Санкт-Петербург,Владивосток
2006-03-24,2006-03-28,2,20,Москва,Владивосток
2006-03-24,2006-03-26,4,40,Владивосток,Москва
2006-03-24,2006-03-27,5,20,Владивосток,Москва
2006-03-24,2006-03-28,4,40,Санкт-Петербург,Москва
2006-03-24,2006-03-27,4,40,Санкт-Петербург,Владивосток
2006-03-26,2006-03-31,4,20,Москва,Владивосток
2006-03-26,2006-04-01,4,40,Санкт-Петербург,Москва
2006-03-26,2006-03-27,6,20,Санкт-Петербург,Владивосток
2006-03-27,2006-04-03,2,20,Санкт-Петербург,Владивосток
2006-03-27,2006-03-28,4,40,Москва,Санкт-Петербург
2006-03-27,2006-03-28,4,40,Москва,Санкт-Петербург
2006-03-27,2006-03-30,6,20,Владивосток,Санкт-Петербург
2006-03-27,2006-04-01,4,40,Москва,Владивосток
2006-03-28,2006-04-04,5,40,Санкт-Петербург,Владивосток
2006-03-28,2006-03-31,5,20,Москва,Владивосток
2006-03-28,2006-04-01,5,40,Санкт-Петербург,Москва
2006-03-28,2006-04-04,2,40,Владивосток,Санкт-Петербург
2006-03-28,2006-04-02,4,40,Москва,Владивосток
2006-03-29,2006-04-01,5,40,Санкт-Петербург,Москва
2006-03-29,2006-04-01,5,40,Москва,Санкт-Петербург
2006-03-29,2006-04-02,5,20,Владивосток,Санкт-Петербург
2006-03-29,2006-04-01,6,40,Москва,Санкт-Петербург
2006-03-29,2006-04-03,2,40,Москва,Санкт-Петербург
2006-03-30,2006-04-02,6,40,Санкт-Петербург,Владивосток
2006-03-30,2006-04-03,6,40,Москва,Санкт-Петербург
2006-03-30,2006-04-03,2,20,Санкт-Петербург,Владивосток
2006-03-30,2006-04-01,6,40,Санкт-Петербург,Москва
2006-03-30,2006-04-01,6,40,Владивосток,Москва
2006-03-31,2006-04-04,4,20,Владивосток,Санкт-Петербург
2006-03-31,2006-04-05,2,40,Санкт-Петербург,Москва
2006-03-31,2006-04-07,2,20,Владивосток,Санкт-Петербург
2006-03-31,2006-04-01,6,20,Санкт-Петербург,Владивосток
2006-04-01,2006-04-04,5,40,Москва,Санкт-Петербург
2006-04-01,2006-04-06,2,20,Владивосток,Москва
2006-04-02,2006-04-03,5,20,Владивосток,Санкт-Петербург
2006-04-02,2006-04-03,2,20,Москва,Владивосток
2006-04-03,2006-04-10,4,40,Владивосток,Москва
2006-04-04,2006-04-08,3,20,Москва,Санкт-Петербург
2006-04-04,2006-04-09,3,40,Москва,Владивосток
2006-04-05,2006-04-11,4,40,Москва,Владивосток
2006-04-05,2006-04-11,2,20,Москва,Владивосток
2006-04-05,2006-04-11,5,40,Москва,Владивосток
2006-04-06,2006-04-13,5,40,Владивосток,Санкт-Петербург
2006-04-06,2006-04-11,3,20,Санкт-Петербург,Владивосток
2006-04-06,2006-04-12,6,20,Санкт-Петербург,Владивосток
2006-04-06,2006-04-10,6,40,Москва,Санкт-Петербург
2006-04-06,2006-04-07,2,20,Владивосток,Москва
2006-04-07,2006-04-14,3,20,Владивосток,Санкт-Петербург
2006-04-07,2006-04-11,5,40,Санкт-Петербург,Москва
2006-04-08,2006-04-13,4,40,Москва,Владивосток
2006-04-08,2006-04-09,6,40,Москва,Санкт-Петербург
2006-04-08,2006-04-11,3,20,Москва,Санкт-Петербург
2006-04-08,2006-04-14,5,40,Москва,Владивосток
2006-04-09,2006-04-12,3,20,Москва,Санкт-Петербург
2006-04-11,2006-04-16,5,40,Москва,Владивосток
2006-04-12,2006-04-14,3,40,Владивосток,Москва
2006-04-12,2006-04-15,4,40,Санкт-Петербург,Москва
2006-04-13,2006-04-19,3,40,Владивосток,Санкт-Петербург
2006-04-13,2006-04-18,4,20,Владивосток,Москва
2006-04-13,2006-04-14,5,40,Санкт-Петербург,Москва
2006-04-14,2006-04-16,2,40,Владивосток,Санкт-Петербург
